# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
0.162917  0.427616  0.311668  -0.046371  -0.010228  0.034457
0.118265  0.414165  0.341253  -0.044967  -0.017421  0.033442
0.075370  0.393785  0.369207  -0.043087  -0.024445  0.031333
0.034452  0.366567  0.394630  -0.040708  -0.031083  0.028472
-0.003945  0.333038  0.417107  -0.037532  -0.037034  0.025398
-0.038955  0.293967  0.436727  -0.033247  -0.042201  0.022389
-0.069220  0.250175  0.453477  -0.027710  -0.046636  0.019284
-0.093462  0.202516  0.467055  -0.021110  -0.050332  0.015735
-0.110706  0.151709  0.476785  -0.014023  -0.053122  0.011602
-0.120911  0.098580  0.482166  -0.007229  -0.054775  0.007000
-0.124805  0.044284  0.482881  -0.001016  -0.055130  0.002199
-0.122933  -0.009565  0.478972  0.004933  -0.054196  -0.002612
-0.115349  -0.061576  0.470444  0.011093  -0.052125  -0.007344
-0.101623  -0.110680  0.457462  0.017599  -0.049040  -0.011775
-0.081509  -0.156194  0.440414  0.024128  -0.045058  -0.015667
-0.055046  -0.197453  0.419828  0.030226  -0.040178  -0.018985
-0.022791  -0.233688  0.396114  0.035499  -0.034256  -0.021901
0.014467  -0.263894  0.369463  0.039715  -0.027263  -0.024539
0.055428  -0.286985  0.340255  0.042805  -0.019522  -0.026729
0.098760  -0.302347  0.309306  0.044907  -0.011592  -0.028064
0.143381  -0.309958  0.277814  0.046157  -0.003783  -0.028317
0.188552  -0.309939  0.246794  0.046619  0.003948  -0.027641
0.233834  -0.302273  0.216786  0.046171  0.011608  -0.026464
0.278416  -0.287103  0.187875  0.044585  0.018976  -0.025178
0.321099  -0.264868  0.160058  0.041882  0.025795  -0.023775
0.360793  -0.236210  0.133642  0.038237  0.031948  -0.021954
0.396557  -0.201846  0.109258  0.033827  0.037390  -0.019512
0.427614  -0.162572  0.087630  0.028822  0.042078  -0.016425
0.453394  -0.119255  0.069405  0.023335  0.045955  -0.012746
0.473441  -0.072645  0.055135  0.017460  0.048958  -0.008600
0.487524  -0.023439  0.045118  0.011318  0.050958  -0.004205
0.495555  0.027299  0.039402  0.004876  0.051831  0.000199
0.497125  0.078195  0.037903  -0.001966  0.051528  0.004513
0.491874  0.127949  0.040521  -0.009032  0.050071  0.008850
0.479739  0.175486  0.047386  -0.015964  0.047526  0.013286
0.461084  0.219826  0.058535  -0.022521  0.043878  0.017651
0.436268  0.259984  0.073804  -0.028675  0.039165  0.021633
0.405550  0.295174  0.092742  -0.034302  0.033545  0.025009
0.369562  0.324726  0.114735  -0.039062  0.027209  0.027755
0.329498  0.347934  0.139102  -0.042763  0.020287  0.029894
0.286422  0.364107  0.165222  -0.045470  0.012808  0.031358
0.241119  0.372708  0.192442  -0.047197  0.004946  0.032152
0.194493  0.373577  0.220229  -0.047814  -0.002965  0.032509
0.147891  0.366852  0.248199  -0.047266  -0.010700  0.032491
0.102444  0.352696  0.275869  -0.045681  -0.018236  0.031858
0.058928  0.331157  0.302592  -0.043210  -0.025560  0.030377
0.018057  0.302548  0.327523  -0.039988  -0.032467  0.028070
-0.019412  0.267429  0.349905  -0.036069  -0.038645  0.025177
-0.052690  0.226715  0.369244  -0.031513  -0.043830  0.021912
-0.081264  0.181421  0.385266  -0.026367  -0.047949  0.018281
-0.104540  0.132596  0.397548  -0.020489  -0.051031  0.014167
-0.121665  0.081390  0.405545  -0.013736  -0.053157  0.009496
-0.131710  0.028771  0.408652  -0.006458  -0.054326  0.004320
-0.134543  -0.024441  0.406434  0.000744  -0.054445  -0.000918
-0.130462  -0.077332  0.399197  0.007532  -0.053475  -0.005639
-0.120063  -0.128773  0.387737  0.013877  -0.051479  -0.009628
-0.103761  -0.177621  0.372866  0.019928  -0.048448  -0.013145
-0.081717  -0.222706  0.354771  0.025786  -0.044265  -0.016524
-0.053998  -0.263095  0.333437  0.031480  -0.038910  -0.019743
-0.020681  -0.297847  0.309018  0.036761  -0.032508  -0.022591
0.017629  -0.326073  0.281941  0.041184  -0.025308  -0.024905
0.059823  -0.347084  0.252815  0.044421  -0.017517  -0.026635
0.104579  -0.360288  0.222238  0.046436  -0.009426  -0.027706
0.150733  -0.365560  0.190973  0.047313  -0.001337  -0.028020
0.197162  -0.362997  0.159793  0.047111  0.006608  -0.027600
0.242788  -0.352787  0.129449  0.045919  0.014349  -0.026569
0.286811  -0.335044  0.100387  0.043841  0.021620  -0.025037
0.328663  -0.310295  0.072929  0.040939  0.028131  -0.023063
0.367603  -0.279381  0.047414  0.037168  0.033817  -0.020672
0.402505  -0.243317  0.024393  0.032614  0.038740  -0.017879
0.432400  -0.203046  0.004421  0.027468  0.042942  -0.014709
0.456744  -0.159341  -0.012121  0.021964  0.046350  -0.011086
0.475408  -0.112877  -0.024760  0.016154  0.048966  -0.007010
0.488106  -0.064205  -0.033203  0.009868  0.050721  -0.002709
0.494332  -0.014105  -0.037395  0.003056  0.051430  0.001623
0.493681  0.036496  -0.037394  -0.004023  0.050940  0.005938
0.486184  0.086159  -0.033241  -0.011002  0.049209  0.010211
0.472277  0.133193  -0.025091  -0.017710  0.046283  0.014305
0.452265  0.176181  -0.013220  -0.024110  0.042313  0.018091
0.426264  0.214498  0.002171  -0.030075  0.037505  0.021546
0.394628  0.247903  0.020841  -0.035363  0.031949  0.024622
0.358157  0.275783  0.042350  -0.039884  0.025490  0.027241
0.317691  0.296947  0.066127  -0.043593  0.018014  0.029389
0.273902  0.310387  0.091843  -0.046261  0.009806  0.031119
0.227819  0.315673  0.119189  -0.047692  0.001391  0.032294
0.180753  0.312902  0.147428  -0.047955  -0.006819  0.032643
0.133982  0.302334  0.175514  -0.047141  -0.014662  0.032105
0.088591  0.284304  0.202619  -0.045329  -0.021991  0.030813
0.045314  0.259291  0.228179  -0.042560  -0.028720  0.028866
0.005031  0.227887  0.251626  -0.038785  -0.034903  0.026332
-0.031143  0.190721  0.272367  -0.034177  -0.040515  0.023276
-0.062355  0.148588  0.289798  -0.029113  -0.045309  0.019764
-0.088339  0.102358  0.303525  -0.023775  -0.049095  0.015892
-0.108861  0.052899  0.313278  -0.017969  -0.051878  0.011694
-0.123439  0.001058  0.318811  -0.011592  -0.053709  0.007212
-0.131532  -0.052060  0.319880  -0.004698  -0.054505  0.002572
-0.132616  -0.105259  0.316414  0.002494  -0.054094  -0.002035
-0.126576  -0.157428  0.308506  0.009725  -0.052459  -0.006531
-0.113527  -0.207409  0.296319  0.016756  -0.049571  -0.010907
